# new Santa Cruz county datafile created by short_scripts/age_structured_data.ipynb
date,confirmed
2020-02-20,2
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-24,5
2020-02-25,5
2020-02-26,6
2020-02-27,6
2020-02-28,8
2020-02-29,8
2020-03-01,8
2020-03-02,9
2020-03-03,10
2020-03-04,13
2020-03-05,13
2020-03-06,15
2020-03-07,17
2020-03-08,17
2020-03-09,19
2020-03-10,22
2020-03-11,26
2020-03-12,29
2020-03-13,32
2020-03-14,33
2020-03-15,38
2020-03-16,44
2020-03-17,51
2020-03-18,54
2020-03-19,56
2020-03-20,59
2020-03-21,61
2020-03-22,63
2020-03-23,64
2020-03-24,66
2020-03-25,71
2020-03-26,74
2020-03-27,78
2020-03-28,78
2020-03-29,79
2020-03-30,79
2020-03-31,82
2020-04-01,88
2020-04-02,93
2020-04-03,95
2020-04-04,95
2020-04-05,95
2020-04-06,95
2020-04-07,97
2020-04-08,97
2020-04-09,98
2020-04-10,98
2020-04-11,99
2020-04-12,99
2020-04-13,100
2020-04-14,106
2020-04-15,114
2020-04-16,118
2020-04-17,120
2020-04-18,121
2020-04-19,123
2020-04-20,126
2020-04-21,128
2020-04-22,130
2020-04-23,134
2020-04-24,135
2020-04-25,139
2020-04-26,139
2020-04-27,139
2020-04-28,140
2020-04-29,140
2020-04-30,141
2020-05-01,142
2020-05-02,142
2020-05-03,143
2020-05-04,143
2020-05-05,144
2020-05-06,146
2020-05-07,151
2020-05-08,154
2020-05-09,158
2020-05-10,159
2020-05-11,160
2020-05-12,162
2020-05-13,164
2020-05-14,168
2020-05-15,171
2020-05-16,172
2020-05-17,175
2020-05-18,186
2020-05-19,188
2020-05-20,199
2020-05-21,202
2020-05-22,210
2020-05-23,213
2020-05-24,215
2020-05-25,218
2020-05-26,220
2020-05-27,223
2020-05-28,227
2020-05-29,228
2020-05-30,231
2020-05-31,231
2020-06-01,234
2020-06-02,238
2020-06-03,243
2020-06-04,249
2020-06-05,254
2020-06-06,257
2020-06-07,259
2020-06-08,268
2020-06-09,269
2020-06-10,275
2020-06-11,278
2020-06-12,282
2020-06-13,290
2020-06-14,296
2020-06-15,310
2020-06-16,321
2020-06-17,336
2020-06-18,342
2020-06-19,358
2020-06-20,368
2020-06-21,370
2020-06-22,380
2020-06-23,393
2020-06-24,402
2020-06-25,415
2020-06-26,428
2020-06-27,436
2020-06-28,443
2020-06-29,467
2020-06-30,484
2020-07-01,511
2020-07-02,534
2020-07-03,555
2020-07-04,568
2020-07-05,581
2020-07-06,602
2020-07-07,620
2020-07-08,653
2020-07-09,684
2020-07-10,713
2020-07-11,740
2020-07-12,772
2020-07-13,812
2020-07-14,848
2020-07-15,886
2020-07-16,925
2020-07-17,967
2020-07-18,989
2020-07-19,1006
2020-07-20,1048
2020-07-21,1076
2020-07-22,1109
2020-07-23,1132
2020-07-24,1167
2020-07-25,1188
2020-07-26,1204
2020-07-27,1234
2020-07-28,1257
2020-07-29,1286
2020-07-30,1311
2020-07-31,1339
2020-08-01,1364
2020-08-02,1382
2020-08-03,1403
2020-08-04,1421
2020-08-05,1439
2020-08-06,1462
2020-08-07,1484
2020-08-08,1503
2020-08-09,1517
2020-08-10,1542
2020-08-11,1559
2020-08-12,1582
2020-08-13,1612
2020-08-14,1638
2020-08-15,1657
2020-08-16,1669
2020-08-17,1693
2020-08-18,1715
2020-08-19,1729
2020-08-20,1749
2020-08-21,1760
2020-08-22,1769
2020-08-23,1778
2020-08-24,1785
2020-08-25,1803
2020-08-26,1827
2020-08-27,1838
2020-08-28,1851
2020-08-29,1861
2020-08-30,1863
2020-08-31,1869
